AWS,Row Position,Column Position,name,DEM,Imerg,R500,SLHF,TCLW,TCWV
0.4000000059604645,43,118,20190401010000,27,0.0,13.269134,-161927.0,0.6105957,44.001633
0.6000000238418579,39,114,20190401010000,137,0.0,20.370697,-150919.0,0.94384766,44.5739
7.199999809265137,16,109,20190401010000,350,0.0,17.390228,-86855.0,0.84020996,45.071945
2.0,30,122,20190401010000,12,0.0,36.206635,-216071.0,0.5010376,47.65007
17.600000381469727,3,121,20190401020000,39,1.13,26.176733,-384721.0,0.6503906,45.76773
16.0,4,121,20190401020000,10,1.13,26.176733,-384721.0,0.6503906,45.76773
5.800000190734863,5,114,20190401020000,17,1.27,14.254858,-292881.0,0.69610596,44.82242
3.200000047683716,3,115,20190401020000,12,1.3,14.254858,-292881.0,0.69610596,44.82242
8.399999618530273,2,121,20190401020000,18,1.13,26.176733,-384721.0,0.6503906,45.76773
0.0,8,198,20190401020000,32767,0.03881934,17.223608,-272977.0,0.31640625,47.132965
0.0,17,151,20190401020000,0,0.0,34.57908,-79249.0,0.05065918,44.73062
2.200000047683716,0,119,20190401020000,14,1.344209,26.176733,-384721.0,0.6503906,45.76773
0.0,37,27,20190401020000,1003,0.0,3.520483,-445905.0,0.009765625,26.957184
0.0,48,49,20190401020000,1300,0.0,4.3720455,-453649.0,0.005859375,20.568512
0.0,62,94,20190401020000,1044,0.0,13.961889,-548049.0,0.06347656,25.46109
0.0,70,98,20190401020000,601,0.0,20.973608,-417233.0,0.07867432,26.722809
0.0,77,64,20190401020000,158,0.0,23.395483,-474257.0,0.039855957,42.44156
1.350000023841858,1,120,20190401020000,21,4.56,26.176733,-384721.0,0.6503906,45.76773
0.0,78,232,20190401020000,32767,0.0,70.00486,-175057.0,0.13891602,50.30484
14.199999809265137,1,117,20190401020000,12,1.344209,26.176733,-384721.0,0.6503906,45.76773
4.199999809265137,0,122,20190401020000,15,4.64,36.18064,-351633.0,0.5905762,44.959137
4.900000095367432,1,119,20190401020000,16,1.344209,26.176733,-384721.0,0.6503906,45.76773
